gzip

s01 ['s18', 's01', 's01', 's01', 's27', 's27', 's27'] Recall: 42.86% Accuracy: 98.57%
s02 ['s02', 's02', 's02', 's02', 's02', 's02', 's02'] Recall: 100.00% Accuracy: 100.00%
s03 ['s03', 's03', 's03', 's12', 's12', 's04', 's04'] Recall: 42.86% Accuracy: 97.50%
s04 ['s26', 's27', 's19', 's26', 's04', 's04', 's28'] Recall: 28.57% Accuracy: 97.14%
s05 ['s05', 's18', 's05', 's05', 's18', 's05', 's18'] Recall: 57.14% Accuracy: 98.21%
s06 ['s06', 's06', 's06', 's06', 's06', 's06', 's06'] Recall: 100.00% Accuracy: 100.00%
s07 ['s35', 's17', 's07', 's07', 's07', 's07', 's17'] Recall: 57.14% Accuracy: 95.71%
s08 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 100.00% Accuracy: 100.00%
s09 ['s09', 's09', 's14', 's14', 's14', 's14', 's14'] Recall: 28.57% Accuracy: 98.21%
s10 ['s10', 's11', 's11', 's11', 's11', 's11', 's10'] Recall: 28.57% Accuracy: 97.86%
s11 ['s11', 's11', 's11', 's11', 's11', 's11', 's11'] Recall: 100.00% Accuracy: 97.50%
s12 ['s26', 's25', 's13', 's26', 's13', 's25', 's25'] Recall: 0.00% Accuracy: 96.79%
s13 ['s32', 's18', 's18', 's13', 's18', 's13', 's18'] Recall: 28.57% Accuracy: 97.14%
s14 ['s32', 's32', 's14', 's14', 's14', 's14', 's14'] Recall: 71.43% Accuracy: 94.29%
s15 ['s15', 's35', 's15', 's35', 's15', 's35', 's35'] Recall: 42.86% Accuracy: 98.57%
s16 ['s07', 's07', 's19', 's16', 's16', 's16', 's16'] Recall: 57.14% Accuracy: 98.93%
s17 ['s17', 's17', 's07', 's07', 's07', 's07', 's07'] Recall: 28.57% Accuracy: 96.07%
s18 ['s18', 's05', 's18', 's18', 's18', 's18', 's18'] Recall: 85.71% Accuracy: 95.71%
s19 ['s19', 's19', 's19', 's19', 's19', 's19', 's19'] Recall: 100.00% Accuracy: 97.14%
s20 ['s14', 's14', 's14', 's14', 's14', 's14', 's20'] Recall: 14.29% Accuracy: 95.00%
s21 ['s21', 's21', 's30', 's30', 's21', 's21', 's30'] Recall: 57.14% Accuracy: 98.93%
s22 ['s29', 's22', 's22', 's22', 's22', 's39', 's22'] Recall: 71.43% Accuracy: 96.07%
s23 ['s03', 's23', 's23', 's23', 's23', 's07', 's23'] Recall: 71.43% Accuracy: 98.93%
s24 ['s30', 's30', 's24', 's24', 's24', 's30', 's20'] Recall: 42.86% Accuracy: 98.57%
s25 ['s25', 's40', 's40', 's25', 's26', 's40', 's25'] Recall: 42.86% Accuracy: 93.57%
s26 ['s40', 's25', 's32', 's18', 's25', 's18', 's40'] Recall: 0.00% Accuracy: 95.36%
s27 ['s27', 's27', 's10', 's27', 's27', 's27', 's27'] Recall: 85.71% Accuracy: 98.21%
s28 ['s19', 's19', 's28', 's19', 's23', 's19', 's03'] Recall: 14.29% Accuracy: 97.14%
s29 ['s20', 's20', 's20', 's30', 's20', 's29', 's22'] Recall: 14.29% Accuracy: 97.50%
s30 ['s20', 's22', 's30', 's22', 's20', 's30', 's20'] Recall: 28.57% Accuracy: 95.36%
s31 ['s31', 's31', 's31', 's30', 's31', 's31', 's03'] Recall: 71.43% Accuracy: 99.29%
s32 ['s32', 's32', 's32', 's26', 's32', 's32', 's32'] Recall: 85.71% Accuracy: 98.21%
s33 ['s33', 's33', 's33', 's22', 's33', 's22', 's33'] Recall: 71.43% Accuracy: 98.93%
s34 ['s34', 's34', 's34', 's34', 's34', 's34', 's34'] Recall: 100.00% Accuracy: 100.00%
s35 ['s35', 's40', 's25', 's25', 's25', 's25', 's40'] Recall: 14.29% Accuracy: 96.07%
s36 ['s07', 's17', 's19', 's19', 's11', 's11', 's14'] Recall: 0.00% Accuracy: 97.50%
s37 ['s13', 's17', 's17', 's04', 's17', 's25', 's25'] Recall: 0.00% Accuracy: 97.50%
s38 ['s38', 's38', 's14', 's38', 's28', 's14', 's38'] Recall: 57.14% Accuracy: 98.93%
s39 ['s39', 's22', 's22', 's22', 's33', 's39', 's22'] Recall: 28.57% Accuracy: 97.86%
s40 ['s25', 's05', 's40', 's40', 's25', 's18', 's25'] Recall: 28.57% Accuracy: 95.71%
Average recall: 50.00%
Average accuracy: 97.50%

bzip2

s01 ['s01', 's01', 's01', 's01', 's01', 's01', 's01'] Recall: 100.00% Accuracy: 100.00%
s02 ['s02', 's02', 's02', 's02', 's02', 's02', 's02'] Recall: 100.00% Accuracy: 100.00%
s03 ['s03', 's03', 's12', 's12', 's12', 's12', 's13'] Recall: 28.57% Accuracy: 95.71%
s04 ['s25', 's23', 's25', 's25', 's04', 's04', 's23'] Recall: 28.57% Accuracy: 97.50%
s05 ['s05', 's05', 's25', 's05', 's25', 's40', 's40'] Recall: 42.86% Accuracy: 97.86%
s06 ['s06', 's06', 's06', 's06', 's06', 's19', 's06'] Recall: 85.71% Accuracy: 99.64%
s07 ['s07', 's07', 's07', 's07', 's07', 's07', 's07'] Recall: 100.00% Accuracy: 98.93%
s08 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 100.00% Accuracy: 99.29%
s09 ['s25', 's38', 's38', 's38', 's38', 's38', 's03'] Recall: 0.00% Accuracy: 97.14%
s10 ['s10', 's10', 's10', 's10', 's10', 's10', 's12'] Recall: 85.71% Accuracy: 99.64%
s11 ['s11', 's11', 's11', 's11', 's11', 's11', 's11'] Recall: 100.00% Accuracy: 98.57%
s12 ['s12', 's12', 's12', 's12', 's12', 's12', 's12'] Recall: 100.00% Accuracy: 96.07%
s13 ['s13', 's13', 's25', 's12', 's12', 's12', 's19'] Recall: 28.57% Accuracy: 97.86%
s14 ['s14', 's14', 's14', 's14', 's14', 's14', 's14'] Recall: 100.00% Accuracy: 100.00%
s15 ['s15', 's25', 's15', 's25', 's32', 's30', 's25'] Recall: 28.57% Accuracy: 98.21%
s16 ['s07', 's07', 's19', 's16', 's16', 's16', 's16'] Recall: 57.14% Accuracy: 98.93%
s17 ['s17', 's17', 's17', 's19', 's17', 's19', 's19'] Recall: 57.14% Accuracy: 98.93%
s18 ['s18', 's18', 's18', 's18', 's18', 's18', 's18'] Recall: 100.00% Accuracy: 100.00%
s19 ['s08', 's19', 's19', 's19', 's19', 's19', 's19'] Recall: 85.71% Accuracy: 96.43%
s20 ['s04', 's20', 's20', 's20', 's20', 's04', 's20'] Recall: 71.43% Accuracy: 99.29%
s21 ['s21', 's35', 's35', 's21', 's30', 's21', 's03'] Recall: 42.86% Accuracy: 98.57%
s22 ['s22', 's22', 's22', 's22', 's22', 's22', 's22'] Recall: 100.00% Accuracy: 100.00%
s23 ['s05', 's23', 's23', 's23', 's23', 's23', 's08'] Recall: 71.43% Accuracy: 98.57%
s24 ['s24', 's19', 's24', 's24', 's24', 's24', 's24'] Recall: 85.71% Accuracy: 99.64%
s25 ['s25', 's25', 's25', 's25', 's25', 's25', 's25'] Recall: 100.00% Accuracy: 91.79%
s26 ['s26', 's26', 's12', 's25', 's25', 's26', 's26'] Recall: 57.14% Accuracy: 98.57%
s27 ['s27', 's27', 's27', 's27', 's27', 's27', 's27'] Recall: 100.00% Accuracy: 99.29%
s28 ['s11', 's11', 's28', 's11', 's26', 's11', 's28'] Recall: 28.57% Accuracy: 98.21%
s29 ['s30', 's30', 's35', 's30', 's30', 's29', 's29'] Recall: 28.57% Accuracy: 98.21%
s30 ['s30', 's30', 's30', 's30', 's30', 's30', 's30'] Recall: 100.00% Accuracy: 95.71%
s31 ['s31', 's31', 's25', 's30', 's09', 's30', 's31'] Recall: 42.86% Accuracy: 98.57%
s32 ['s32', 's32', 's32', 's32', 's32', 's32', 's32'] Recall: 100.00% Accuracy: 99.29%
s33 ['s33', 's30', 's33', 's30', 's30', 's33', 's33'] Recall: 57.14% Accuracy: 98.93%
s34 ['s34', 's34', 's34', 's34', 's34', 's34', 's34'] Recall: 100.00% Accuracy: 100.00%
s35 ['s35', 's25', 's25', 's25', 's25', 's19', 's25'] Recall: 14.29% Accuracy: 96.79%
s36 ['s36', 's07', 's32', 's19', 's36', 's27', 's27'] Recall: 28.57% Accuracy: 98.21%
s37 ['s37', 's37', 's37', 's12', 's37', 's37', 's37'] Recall: 85.71% Accuracy: 99.64%
s38 ['s12', 's38', 's38', 's38', 's38', 's38', 's38'] Recall: 85.71% Accuracy: 97.86%
s39 ['s39', 's03', 's03', 's30', 's03', 's03', 's03'] Recall: 14.29% Accuracy: 97.86%
s40 ['s25', 's40', 's25', 's05', 's25', 's25', 's25'] Recall: 14.29% Accuracy: 97.14%
Average recall: 66.43%
Average accuracy: 98.32%

lzma

